,index,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
0,44167,2023-wimbledon-2301,Iga Swiatek,Petra Martic,0,1,1,1,0,0,0,0,15,0,2,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.563,41.037,10,93,2,0,0
1,44168,2023-wimbledon-2301,Iga Swiatek,Petra Martic,0.883333333,1,1,2,0,0,0,0,30,0,2,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.074,9.081,0,0,2,1,-1
2,44169,2023-wimbledon-2301,Iga Swiatek,Petra Martic,1.866666667,1,1,3,0,0,0,0,30,15,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.926,5.849,1,88,1,0,1
3,44170,2023-wimbledon-2301,Iga Swiatek,Petra Martic,2.433333333,1,1,4,0,0,0,0,30,30,2,1,2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20.259,17.881,5,93,2,1,-1
4,44171,2023-wimbledon-2301,Iga Swiatek,Petra Martic,2.916666667,1,1,5,0,0,0,0,30,40,2,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.25,7.574,1,103,2,1,0
5,44172,2023-wimbledon-2301,Iga Swiatek,Petra Martic,3.366666667,1,1,6,0,0,0,0,40,40,2,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.958,30.808,8,103,1,1,0
6,44173,2023-wimbledon-2301,Iga Swiatek,Petra Martic,3.9,1,1,7,0,0,0,0,40,AD,2,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.508,8.649,1,117,1,0,1
7,44174,2023-wimbledon-2301,Iga Swiatek,Petra Martic,4.4,1,1,8,0,0,0,1,0,0,2,1,2,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.745,6.696,1,115,2,0,0
8,44175,2023-wimbledon-2301,Iga Swiatek,Petra Martic,5.533333333,1,2,9,0,0,0,1,0,15,1,1,2,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.159,15.4,4,103,1,0,1
9,44176,2023-wimbledon-2301,Iga Swiatek,Petra Martic,6.05,1,2,10,0,0,0,1,0,30,1,2,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.281,4.55,2,78,0,0,0
10,44177,2023-wimbledon-2301,Iga Swiatek,Petra Martic,6.816666667,1,2,11,0,0,0,1,15,30,1,2,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.589,13.644,3,84,1,1,0
11,44178,2023-wimbledon-2301,Iga Swiatek,Petra Martic,7.65,1,2,12,0,0,0,1,15,40,1,1,2,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.373,39.317,4,107,0,0,0
12,44179,2023-wimbledon-2301,Iga Swiatek,Petra Martic,8.2,1,2,13,0,0,0,1,30,40,1,1,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12.991,8.89,3,111,0,0,0
13,44180,2023-wimbledon-2301,Iga Swiatek,Petra Martic,8.966666667,1,2,14,0,0,0,1,40,40,1,1,1,6,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,14.946,24.991,3,115,0,0,1
